THREATS	2010-07-19 17:25:00	37.8149844	-122.2721171
VANDALISM	2010-09-15 13:00:00	37.8022485	-122.2680455
OTHER	2010-09-21 00:00:00	37.8068540	-122.2744750
GRAND THEFT	2010-10-28 16:00:00	37.8122870	-122.2657890
GRAND THEFT	2010-10-29 11:30:00	37.8062773	-122.2703864
DOMESTIC VIOLENCE	2010-09-27 21:30:00	37.8056418	-122.2766227
THREATS	2010-08-24 00:00:00	37.8175773	-122.2742574
MISDEMEANOR ASSAULT	2010-09-27 13:37:00	37.8145809	-122.2786277
MISDEMEANOR ASSAULT	2010-09-27 20:50:00	37.8126650	-122.2715490
BURG - COMMERCIAL	2010-08-26 02:00:00	37.8100338	-122.2675076
ROBBERY	2010-08-19 04:00:00	37.8097055	-122.2695138
BURG - AUTO	2010-08-10 16:08:00	37.8048290	-122.2767885
VANDALISM	2010-08-14 13:00:00	37.8065199	-122.2745692
DOMESTIC VIOLENCE	2010-08-16 00:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-08-26 23:00:00	37.8032106	-122.2748694
PETTY THEFT	2010-08-27 07:10:00	37.8126209	-122.2687791
BURG - COMMERCIAL	2010-08-25 08:10:00	37.8004204	-122.2721235
GRAND THEFT	2010-10-06 21:15:00	37.8078220	-122.2685270
BURG - AUTO	2010-09-30 20:00:00	37.8071803	-122.2724230
STOLEN VEHICLE	2010-11-08 23:00:00	37.8123956	-122.2609289
ROBBERY	2010-10-30 02:30:00	37.8078761	-122.2723646
MISDEMEANOR ASSAULT	2010-08-09 13:20:00	37.8043722	-122.2708026
BURG - AUTO	2010-08-10 16:08:00	37.8048290	-122.2767885
ROBBERY	2010-09-24 00:00:00	37.8068540	-122.2744750
ROBBERY	2010-09-25 00:00:00	37.8068540	-122.2744750
PETTY THEFT	2010-10-01 00:00:00	37.8043722	-122.2708026
STOLEN VEHICLE	2010-08-14 11:30:00	37.8170633	-122.2788345
MISDEMEANOR ASSAULT	2010-08-11 12:25:00	37.8022485	-122.2680455
VANDALISM	2010-08-21 01:00:00	37.8024557	-122.2664262
MISDEMEANOR ASSAULT	2010-08-14 06:31:00	37.8162945	-122.2679769
BURG - RESIDENTIAL	2010-08-23 12:30:00	37.8173384	-122.2676337
BURG - RESIDENTIAL	2010-08-24 09:45:00	37.8029326	-122.2675742
GRAND THEFT	2010-08-26 09:15:00	37.8038768	-122.2699566
BURG - OTHER	2010-08-11 00:00:00	37.8116063	-122.2735303
PETTY THEFT	2010-08-11 00:00:00	37.8043722	-122.2708026
PETTY THEFT	2010-08-11 00:00:00	37.8043722	-122.2708026
GRAND THEFT	2010-08-25 20:30:00	37.8180455	-122.2797843
GRAND THEFT	2010-08-09 21:50:00	37.8006082	-122.2660799
ROBBERY	2010-07-17 22:20:00	37.8043722	-122.2708026
DOMESTIC VIOLENCE	2010-07-18 01:05:00	37.8078761	-122.2723646
